3303210,Дом,Строение,397рп,2/25/2004,8005954,3/30/2004,21114252
28921,Дом,Строение,01-41-515,3/1/2006,5013817,3/9/2006,21114253
3807731,Дом,Строение,01-41-3840,12/29/2005,5013318,1/12/2006,21114254
28924,Дом,Строение,01-41-1399,8/23/2002,5004446,12/24/2002,21114257
3807732,Дом,Строение,01-41-3840,12/29/2005,5013319,1/12/2006,21114258
3303232,Дом,Строение,893рп,3/15/2001,8001390,10/10/2003,21114259
310167,Дом,Строение,270-06-144/10-1,12/2/2010,7205206,12/15/2010,21114264
3303253,Дом,Строение,3770рп,10/28/2003,8005649,11/28/2003,21114267
3807736,Дом,Строение,01-41-3842,12/29/2005,5013321,1/16/2006,21114268
310202,Дом,Строение,585-РП,8/29/2013,7205291,8/30/2013,21114269
28929,Дом,Строение,01-41-1399,8/23/2002,5004451,12/24/2002,21114270
3807737,Дом,Строение,01-41-3842,12/29/2005,5013322,1/16/2006,21114271
3303287,Дом,Строение,3749рп,10/28/2003,8005641,11/19/2003,21114275
3804546,Дом,Строение,01-41-1029,10/1/2001,5001381,10/12/2001,21114276
310207,Дом,Строение,589-РП,8/29/2013,7205296,8/30/2013,21114277
3807741,Дом,Строение,01-41-3842,12/29/2005,5013325,1/16/2006,21114281
310210,Дом,Строение,584-РП,8/29/2013,7205299,8/30/2013,21114282
3807742,Дом,Строение,01-41-3842,12/29/2005,5013326,1/16/2006,21114286
320003,Дом,Строение,280-РП,2/11/2004,7103143,2/26/2004,21114289
3807743,Дом,Строение,01-41-3842,12/29/2005,5013327,1/16/2006,21114290
2106182,Дом,Строение,2429-p,5/26/2005,1010702,6/17/2005,21114293
3807744,Дом,Строение,01-41-3842,12/29/2005,5013328,1/16/2006,21114295
3401202,Дом,Строение,458,2/7/2005,9009236,2/14/2005,21114296
28965,Дом,Строение,3438,12/23/2003,4003082,1/6/2004,21114299
3807745,Дом,Строение,01-41-3842,12/29/2005,5013329,1/16/2006,21114300
3401215,Дом,Строение,458,2/7/2005,9009230,2/14/2005,21114302
3807746,Дом,Строение,01-41-288,2/9/2006,5013663,2/26/2006,21114305
3401216,Дом,Строение,458,2/7/2005,9009231,2/14/2005,21114310
28991,Дом,Строение,2429-p,5/26/2005,1010883,6/20/2005,21114316
3401222,Дом,Строение,7077,9/9/2004,9007867,9/16/2004,21114317
3807750,Дом,Строение,01-41-291,2/9/2006,5014279,8/15/2006,21114318
28994,Дом,Строение,2429-p,5/26/2005,1010873,6/20/2005,21114324
28997,Дом,Строение,7552-р,11/26/2004,1008417,12/20/2004,21114329
73007,Дом,Строение,1815рп,5/24/2002,8002980,8/14/2002,21114330
3401253,Дом,Строение,800,2/7/2002,9001902,2/11/2002,21114331
3807754,Дом,Строение,01-41-3841,12/29/2005,5013333,1/16/2006,21114332
28998,Дом,Строение,7552-р,11/26/2004,1008418,12/20/2004,21114333
73008,Дом,Строение,2785рп,6/27/2002,8003269,11/13/2002,21114335
3807755,Дом,Строение,01-41-3841,12/29/2005,5013334,1/16/2006,21114337
3401273,Дом,Строение,800,2/7/2002,9001934,2/11/2002,21114338
73017,Дом,Строение,1815рп,5/24/2002,8002994,8/14/2002,21114339
3807756,Дом,Строение,01-41-3841,12/29/2005,5013335,1/16/2006,21114342
3807758,Дом,Строение,01-41-3841,12/29/2005,5013337,1/16/2006,21114346
3401275,Дом,Строение,800,2/7/2002,9001930,2/11/2002,21114347
3807759,Дом,Строение,01-41-3841,12/29/2005,5013338,1/16/2006,21114350
3401286,Дом,Строение,4261,6/19/2002,9002160,6/20/2002,21114353
3807762,Дом,Строение,01-41-3843,12/29/2005,5013341,1/17/2006,21114359
31058,Дом,Строение,746-рп,7/22/2005,9302483,7/27/2005,21114362
73053,Дом,Строение,3286рп,9/25/2003,8005673,11/28/2003,21114363
31059,Дом,Строение,746-рп,7/22/2005,9302484,7/27/2005,21114366
73055,Дом,Строение,1815рп,5/24/2002,8002829,6/19/2002,21114368
3807767,Дом,Строение,01-41-3843,12/29/2005,5013346,1/17/2006,21114369
73061,Дом,Строение,3952рп,11/8/2005,8008117,10/9/2006,21114372
3807768,Дом,Строение,01-41-3844,12/29/2005,5013347,1/17/2006,21114373
3401381,Дом,Строение,6332,8/22/2005,9011927,8/30/2005,21114375
73069,Дом,Строение,1815рп,5/24/2002,8002827,6/19/2002,21114377
3807770,Дом,Строение,01-41-3843,12/29/2005,5013348,1/17/2006,21114379
73072,Дом,Строение,1815рп,5/24/2002,8004054,2/5/2003,21114380
3401412,Дом,Строение,6983,9/19/2003,9003531,9/23/2003,21114381
3807771,Дом,Строение,01-41-3843,12/29/2005,5013349,1/17/2006,21114384
3807772,Дом,Строение,01-41-3844,12/29/2005,5013350,1/17/2006,21114387
3807774,Дом,Строение,01-41-3844,12/29/2005,5013352,1/17/2006,21114392
73080,Дом,Строение,3287рп,9/25/2003,8000811,10/7/2003,21114393
17076,Дом,Строение,3663рп,9/26/2002,8003715,2/3/2003,21114394
3807782,Дом,Строение,01-41-3542,12/14/2005,5013629,1/26/2006,21114402
73132,Дом,Строение,3702рп,9/30/2002,8003431,1/8/2003,21114403
17101,Дом,Строение,1990-РП,9/22/2005,6007122,10/7/2005,21114407
3401545,Дом,Строение,6331,8/22/2005,9011666,8/29/2005,21114409
3807784,Дом,Строение,,,0,,21114412
73161,Дом,Строение,3287рп,9/21/2003,8000768,10/7/2003,21114418
17116,Дом,Строение,2120-РП,10/22/2004,7104751,10/26/2004,21114419
3807789,Дом,Строение,,,0,,21114421
3401564,Дом,Строение,6334,8/22/2005,9011194,8/25/2005,21114429
3807795,Дом,Строение,01-41-291,2/9/2006,5014157,5/24/2006,21114430
2105167,Дом,Строение,4223-р,6/25/2004,1006088,7/6/2004,21114431
2105171,Дом,Строение,2555-р,6/6/2005,1011171,6/23/2005,21114435
17160,Дом,Строение,955-РП,5/14/2004,6002680,5/31/2004,21114436
3401574,Дом,Строение,6031,8/29/2003,9003509,9/1/2003,21114437
3807804,Дом,Строение,,,0,,21114443
3807805,Дом,Строение,,,0,,21114448
3401622,Дом,Строение,6983,9/19/2003,9003584,9/23/2003,21114451
2105204,Дом,Строение,,,0,,21114455
